说明：字符位置11-16为气压，19-23为高度，26-31为气温，34-38为湿度，48-50为风向，53-57为风速，
55 3419.001003.110   5000  26.710 73.509999.90 11710  8.110999  999.9  99999  9.999  
55 3419.00 517.512 560000  -3.910 23.109999.90 27710  6.510999  999.9  99999  9.999  
55 3419.00 514.212 565000  -4.310 23.109999.90 27410  6.210999  999.9  99999  9.999  
55 3419.00 510.912 570000  -4.810 22.009999.90 26810  6.810999  999.9  99999  9.999  
55 3419.00 507.712 575000  -5.110 19.209999.90 26410  6.910999  999.9  99999  9.999  
55 3419.00 504.512 580000  -5.510 16.609999.90 25210  6.910999  999.9  99999  9.999  
55 3419.00 501.312 585000  -5.610 12.909999.90 24510  7.310999  999.9  99999  9.999  
55 3419.00 498.112 590000  -5.510  9.109999.90 23810  7.310999  999.9  99999  9.999  
55 3419.00 495.012 595000  -5.410  5.409999.90 22910  7.510999  999.9  99999  9.999  
55 3419.00 491.812 600000  -5.710  3.409999.90 22110  7.710999  999.9  99999  9.999  
55 3419.00 488.712 605000  -5.810  2.809999.90 21410  7.510999  999.9  99999  9.999  
55 3419.00 485.612 610000  -5.810  2.409999.90 20410  6.710999  999.9  99999  9.999  
55 3419.00 482.512 615000  -6.210  2.209999.90 19210  5.510999  999.9  99999  9.999  
55 3419.00 479.512 620000  -6.510  2.209999.90 17710  4.110999  999.9  99999  9.999  
55 3419.00 476.412 625000  -6.910  2.209999.90 16810  3.010999  999.9  99999  9.999  
55 3419.00 473.412 630000  -7.210  2.309999.90 16610  2.110999  999.9  99999  9.999  
55 3419.00 470.412 635000  -7.610  2.309999.90 15510  1.910999  999.9  99999  9.999  
55 3419.00 467.412 640000  -8.110  2.509999.90 15210  1.910999  999.9  99999  9.999  
55 3419.00 464.412 645000  -8.610  2.609999.90 13710  2.210999  999.9  99999  9.999  
55 3419.00 461.412 650000  -9.010  2.709999.90 12710  3.010999  999.9  99999  9.999  
55 3419.00 458.412 655000  -9.510  2.809999.90 12810  3.310999  999.9  99999  9.999  
55 3419.00 455.512 660000 -10.010  3.009999.90 11710  3.010999  999.9  99999  9.999  
55 3419.00 452.612 665000 -10.510  3.109999.90 09210  2.510999  999.9  99999  9.999  
55 3419.00 449.612 670000 -10.110  3.109999.90 06510  2.810999  999.9  99999  9.999  
55 3419.00 446.712 675000 -10.110  2.809999.90 05210  4.210999  999.9  99999  9.999  
55 3419.00 443.912 680000 -10.010  2.509999.90 05510  5.110999  999.9  99999  9.999  
55 3419.00 441.012 685000  -9.610  2.409999.90 06110  6.110999  999.9  99999  9.999  
55 3419.00 438.212 690000  -9.810  2.609999.90 07210  6.610999  999.9  99999  9.999  
55 3419.00 435.312 695000 -10.110  3.009999.90 08210  6.610999  999.9  99999  9.999  
55 3419.00 432.512 700000 -10.510  3.509999.90 08810  7.110999  999.9  99999  9.999  
55 3419.00 429.712 705000 -10.910  3.909999.90 09410  7.610999  999.9  99999  9.999  
55 3419.00 427.012 710000 -11.110  4.309999.90 09410  8.010999  999.9  99999  9.999  
55 3419.00 424.212 715000 -11.410  4.509999.90 09110  8.010999  999.9  99999  9.999  
55 3419.00 421.512 720000 -11.710  4.609999.90 08610  7.910999  999.9  99999  9.999  
55 3419.00 418.712 725000 -12.010  4.309999.90 08410  7.710999  999.9  99999  9.999  
55 3419.00 416.012 730000 -12.410  4.209999.90 08610  7.110999  999.9  99999  9.999  
55 3419.00 413.312 735000 -12.710  4.209999.90 08410  7.110999  999.9  99999  9.999  
55 3419.00 410.612 740000 -13.110  4.209999.90 07810  7.410999  999.9  99999  9.999  
55 3419.00 407.912 745000 -13.310  4.309999.90 07410  7.110999  999.9  99999  9.999  
55 3419.00 405.312 750000 -13.510  4.209999.90 06510  6.810999  999.9  99999  9.999  
55 3419.00 402.612 755000 -13.810  4.409999.90 06010  6.510999  999.9  99999  9.999  
55 3419.00 400.012 760000 -14.110  4.909999.90 05610  6.010999  999.9  99999  9.999  
55 3419.00 397.412 765000 -14.510  5.809999.90 05510  5.410999  999.9  99999  9.999  
55 3419.00 394.812 770000 -14.910  6.609999.90 06210  5.510999  999.9  99999  9.999  
55 3419.00 392.212 775000 -15.310  7.009999.90 06210  5.510999  999.9  99999  9.999  
55 3419.00 389.612 780000 -15.810  7.109999.90 06710  5.410999  999.9  99999  9.999  
55 3419.00 387.012 785000 -16.210  7.209999.90 07410  5.610999  999.9  99999  9.999  
55 3419.00 384.512 790000 -16.710  7.409999.90 07610  5.210999  999.9  99999  9.999  
55 3419.00 381.912 795000 -17.210  7.609999.90 08510  4.610999  999.9  99999  9.999  
55 3419.00 379.412 800000 -17.610  7.509999.90 08810  3.910999  999.9  99999  9.999  
55 3419.00 376.912 805000 -17.910  6.809999.90 08910  2.810999  999.9  99999  9.999  
55 3419.00 374.412 810000 -18.410  6.609999.90 09210  2.310999  999.9  99999  9.999  
55 3419.00 371.912 815000 -18.810  7.509999.90 09810  2.710999  999.9  99999  9.999  
55 3419.00 369.412 820000 -19.210  8.209999.90 11110  3.710999  999.9  99999  9.999  
55 3419.00 367.012 825000 -19.610  9.309999.90 11610  5.210999  999.9  99999  9.999  
55 3419.00 364.512 830000 -19.510  8.609999.90 11510  6.210999  999.9  99999  9.999  
55 3419.00 362.112 835000 -19.710  7.109999.90 11210  6.310999  999.9  99999  9.999  
55 3419.00 359.712 840000 -20.010  6.309999.90 11010  6.510999  999.9  99999  9.999  
55 3419.00 357.212 845000 -20.410  5.909999.90 10810  6.210999  999.9  99999  9.999  
55 3419.00 354.812 850000 -20.810  5.609999.90 11410  5.410999  999.9  99999  9.999  
55 3419.00 352.512 855000 -21.210  5.509999.90 12110  4.910999  999.9  99999  9.999  
55 3419.00 350.112 860000 -21.410  5.509999.90 11810  4.410999  999.9  99999  9.999  
55 3419.00 347.712 865000 -21.710  5.309999.90 11210  4.510999  999.9  99999  9.999  
55 3419.00 345.412 870000 -22.010  5.309999.90 10910  5.110999  999.9  99999  9.999  
55 3419.00 343.112 875000 -22.410  5.209999.90 11010  5.510999  999.9  99999  9.999  
55 3419.00 340.712 880000 -22.610  5.009999.90 11210  5.710999  999.9  99999  9.999  
55 3419.00 338.412 885000 -22.910  4.809999.90 11410  5.910999  999.9  99999  9.999  
55 3419.00 336.212 890000 -23.310  4.709999.90 11210  5.710999  999.9  99999  9.999  
55 3419.00 333.912 895000 -23.610  4.609999.90 10410  5.210999  999.9  99999  9.999  
55 3419.00 331.612 900000 -24.110  4.709999.90 09810  4.910999  999.9  99999  9.999  
55 3419.00 329.312 905000 -24.510  4.709999.90 09510  4.610999  999.9  99999  9.999  
55 3419.00 327.112 910000 -25.010  4.809999.90 08610  4.410999  999.9  99999  9.999  
55 3419.00 324.912 915000 -25.410  5.009999.90 08010  4.510999  999.9  99999  9.999  
55 3419.00 322.612 920000 -25.710  5.109999.90 07410  5.510999  999.9  99999  9.999  
55 3419.00 320.412 925000 -26.010  5.309999.90 06610  6.310999  999.9  99999  9.999  
55 3419.00 318.212 930000 -26.410  5.709999.90 06310  6.810999  999.9  99999  9.999  
55 3419.00 316.112 935000 -26.810  6.409999.90 06210  7.410999  999.9  99999  9.999  
55 3419.00 313.912 940000 -27.310  7.309999.90 06010  7.710999  999.9  99999  9.999  
55 3419.00 311.712 945000 -27.710  8.209999.90 05610  7.710999  999.9  99999  9.999  
55 3419.00 309.612 950000 -28.210  9.109999.90 05410  7.710999  999.9  99999  9.999  
55 3419.00 307.412 955000 -28.710 10.009999.90 05110  7.710999  999.9  99999  9.999  
55 3419.00 305.312 960000 -29.210 10.709999.90 04910  7.610999  999.9  99999  9.999  
